Sheet Music for: lilytestsong
Artist: lily
Instrument: Piano


=== Measure 1 ===
B: - ♩ - - 
A#: - - - - 
A: - - ♩ ♩ 
G#: - - - - 
G: ♩ ♩ - - 
F#: - - - - 
F: - - - ♩ 
E: ♩ - ♩ - 
D#: - - - - 
D: - ♩ - - 
C#: - - - - 
C: ♩ - ♩ ♩ 

=== Measure 2 ===
B: - ♩ - - 
A#: - - - - 
A: - - ♩ ♩ 
G#: - - - - 
G: ♩ ♩ - - 
F#: - - - - 
F: - - - ♩ 
E: ♩ - ♩ - 
D#: - - - - 
D: - ♩ - - 
C#: - - - - 
C: ♩ - ♩ ♩ 

=== Measure 3 ===
B: - ♩ - - 
A#: - - - - 
A: - - ♩ ♩ 
G#: - - - - 
G: ♩ ♩ - - 
F#: - - - - 
F: - - - ♩ 
E: ♩ - ♩ - 
D#: - - - - 
D: - ♩ - - 
C#: - - - - 
C: ♩ - ♩ ♩ 

=== Measure 4 ===
B: - ♩ - - 
A#: - - - - 
A: - - ♩ ♩ 
G#: - - - - 
G: ♩ ♩ - - 
F#: - - - - 
F: - - - ♩ 
E: ♩ - ♩ - 
D#: - - - - 
D: - ♩ - - 
C#: - - - - 
C: ♩ - ♩ ♩ 

=== Measure 5 ===
B: - ♩ - - 
A#: - - - - 
A: - - ♩ ♩ 
G#: - - - - 
G: ♩ ♩ - - 
F#: - - - - 
F: - - - ♩ 
E: ♩ - ♩ - 
D#: - - - - 
D: - ♩ - - 
C#: - - - - 
C: ♩ - ♩ ♩ 
